Thread pool size,Current 10 Second Throughput,99th percentile Latency
199,2103.4,7.471103
199,2009.4,7.503871
175,2044.0,7.536639
166,2085.8,7.536639
177,1995.8,7.536639
197,2096.0,7.536639
190,2107.0,7.569407
161,2069.8,7.602175
148,2010.0,7.700479
106,2010.8,7.766015
107,2005.8,7.831551
96,1780.1999999999998,7.864319
199,0.0,7.864319
131,2010.2,7.995391
83,2015.6,8.060927
146,2103.4,8.191999
54,2085.2,8.847359
55,2002.2,8.912895
42,2117.4,9.109503
29,2120.2000000000003,10.616831
10,2139.8,18.087935
