Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 1776.6000000000001, Infinity, 405, 28.755590681879024, 68.157439
18, 2125.4, 19.633006867049414, 742, 24.177414232336595, 53.477375
157, 1677.2, -21.087795238543336, 1448, 21.414088798741687, 84.410367
130, 2182.6, 30.13355592654423, 2093, 21.069035825938542, 91.750399
74, 2095.7999999999997, -3.9769082745349666, 2761, 21.81940476330961, 88.604671
57, 1663.6000000000001, -20.622196774501365, 3351, 22.37579309934582, 92.798975
1, 1029.4, -38.122144746333255, 3346, 47.28925460433876, 61.341695
1, 988.4, -3.982902661744716, 3346, 50.00944653380687, 61.341695
199, 2092.0, 111.65520032375555, 4066, 20.729523030677164, 87.031807
1, 992.2, -52.5717017208413, 4054, 47.72250987404684, 58.458111
199, 2089.2, 110.56238661560165, 4793, 20.58575159307111, 87.556095
6, 2110.8, 1.033888569787496, 6243, 24.249493458485894, 44.826623
2, 1534.0, -27.32613227212432, 11667, 31.34532396176263, 36.962303
28, 2074.2, 35.21512385919165, 12382, 22.918385981754962, 61.865983
37, 2172.2000000000003, 4.724713142416376, 13117, 22.99130580777352, 71.303167
1, 986.1999999999999, -54.59902403093639, 13087, 49.44378513740433, 57.409535
35, 2076.6000000000004, 110.56580815250463, 13758, 22.909457815258357, 76.546047
10, 2148.2, 3.4479437542135916, 14913, 23.238255251594882, 37.748735
10, 2198.6, 2.3461502653384274, 15975, 23.202276031947434, 34.603007
8, 2096.8, -4.630219230419345, 17209, 23.707987452213224, 31.719423
13, 0.0, -100.0, 17428, 23.929003945660284, 36.438015
