Thread pool size,Concurrency,99th percentile Latency
10,1,38.797311
10,1,16.056319
14,1,12.582911
13,1,47.448063
14,1,30.670847
11,1,11.730943
3,1,1509.949439
3,1,22.675455
1,1,181.403647
23,1,71.827455
1,1,30.670847
1,1,27.000831
1,1,214.958079
1,1,587.202559
1,1,616.562687
23,1,36.962303
9,1,28.311551
1,1,24.117247
19,1,31.326207
23,1,31.981567
23,1,591.396863
6,1,26.476543
33,1,33.161215
10,1,28.049407
38,1,32.374783
31,1,74.973183
34,1,175.112191
31,1,364.904447
30,1,528.482303
44,1,637.534207
36,1,792.723455
36,1,476.053503
1,1,180.355071
1,1,31.457279
1,1,31.719423
1,1,27.000831
1,1,19.267583
19,1,32.243711
1,1,30.015487
1,1,32.636927
