Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,83.2,901.775359
32,144.20000000000002,570.425343
7,75.8,1082.130431
24,19.8,3372.220415
1,75.0,826.277887
1,82.39999999999999,750.780415
43,159.0,671.088639
43,162.8,675.282943
47,193.6,750.780415
49,186.2,708.837375
49,195.0,700.448767
49,185.2,679.477247
49,184.0,763.363327
49,166.2,696.254463
39,97.0,1887.436799
44,172.8,620.756991
2,127.6,455.081983
49,167.2,725.614591
49,196.8,687.865855
49,178.4,683.671551
33,163.60000000000002,587.202559
49,163.0,692.060159
49,193.2,704.643071
49,144.8,654.311423
49,183.6,687.865855
49,130.6,2986.344447
49,172.6,675.282943
1,53.2,1124.073471
1,69.2,1098.907647
49,170.39999999999998,700.448767
49,159.6,725.614591
49,145.4,3439.329279
49,163.4,742.391807
29,41.79999999999999,1728.053247
37,172.4,591.396863
48,160.0,687.865855
35,161.6,574.619647
30,180.2,566.231039
22,179.6,499.122175
29,29.400000000000013,2348.810239
