Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,118.8,100.139007
15,132.0,98.566143
1,53.8,161.480703
3,29.8,2969.567231
20,20.6,494.927871
7,12.000000000000002,1124.073471
37,18.599999999999994,1233.125375
10,71.0,234.881023
21,48.2,193.986559
30,7.2,4429.185023
1,13.2,1182.793727
1,59.400000000000006,488.636415
32,7.800000000000001,1325.400063
1,62.400000000000006,541.065215
1,1.6,5234.491391
1,57.6,513.802239
14,111.4,177.209343
9,123.0,696.254463
18,43.4,207.618047
33,4.2,1686.110207
