Thread pool size,Concurrency,99th percentile Latency
10,3,117.964799
24,3,173.015039
30,6,1224.736767
23,6,184.549375
1,8,360.710143
1,8,1300.234239
1,11,6845.104127
17,11,192.937983
15,14,189.792255
40,14,192.937983
12,16,1090.519039
11,16,217.055231
28,19,285.212671
47,19,265.289727
44,22,304.087039
23,22,299.892735
37,24,371.195903
47,24,308.281343
39,27,387.973119
7,27,312.475647
22,27,346.030079
41,27,381.681663
13,29,299.892735
21,29,375.390207
22,32,392.167423
28,32,394.264575
31,35,2097.151999
6,35,337.641471
16,37,423.624703
24,37,411.041791
49,40,583.008255
20,40,438.304767
36,43,515.899391
6,43,385.875967
18,45,5335.154687
49,45,675.282943
28,48,603.979775
5,48,434.110463
5,51,505.413631
5,51,509.607935
