Thread pool size,Concurrency,99th percentile Latency
10,50,1044.381695
11,50,3372.220415
18,45,704.643071
7,45,1216.348159
18,40,3724.541951
20,40,411.041791
15,35,392.167423
36,35,478.150655
49,30,413.138943
15,30,385.875967
19,25,322.961407
1,25,562.036735
1,20,310.378495
49,20,306.184191
1,15,295.698431
1,15,327.155711
1,10,255.852543
1,10,175.112191
1,5,124.256255
1,5,98.566143
1,10,268.435455
1,10,1568.669695
1,15,7650.410495
38,15,211.812351
22,20,287.309823
22,20,293.601279
22,25,304.087039
21,25,2139.095039
21,30,327.155711
36,30,417.333247
20,35,385.875967
19,35,390.070271
19,40,402.653183
19,40,450.887679
19,45,4630.511615
18,45,417.333247
47,50,780.140543
48,50,679.477247
38,50,2885.681151
49,50,717.225983
