Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 1452.6000000000001, Infinity, 86, 8.624782195540805, 47.185919
35, 928.6, -36.07324796915876, 54, 8.570173976468494, 47.185919
126, 1206.2, 29.894464785698904, 115, 10.754444617432647, 47.972351
1, 126.60000000000001, -89.50422815453491, 107, 89.17748949640287, 729.808895
199, 59.2, -53.23854660347552, 128, 51.67362337818055, 1241.513983
157, 220.39999999999998, 272.29729729729723, 124, 47.07854058779977, 335.544319
120, 36.8, -83.30308529945553, 134, 183.77572940768277, 2600.468479
70, 88.39999999999998, 140.21739130434779, 141, 41.48223219093348, 306.184191
136, 2.4, -97.28506787330315, 139, 251.61669844697633, 2684.354559
165, 306.2, 12658.333333333334, 147, 50.20875782360248, 373.293055
167, 5.999999999999999, -98.04049640757675, 153, 121.95243576841669, 2147.483647
1, 8.200000000000001, 36.66666666666671, 144, 330.57784348131867, 2466.250751
1, 1.0, -87.8048780487805, 144, 517.2565026516854, 2197.815295
126, 102.4, 10140.0, 154, 468.4517076437364, 3321.888767
134, 14.8, -85.546875, 162, 36.36900188082799, 308.281343
68, 250.0, 1589.1891891891892, 164, 160.53014294451546, 2432.696319
138, 77.0, -69.2, 175, 45.28096981253879, 329.252863
96, 324.40000000000003, 321.29870129870136, 176, 254.28127095059625, 3405.774847
22, 314.0, -3.2059186189889126, 185, 38.18841776752026, 291.504127
108, 274.8, -12.484076433121016, 186, 191.0578583567083, 2113.929215
136, 0.0, -100.0, 182, 38.881021406473934, 304.087039
