Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,1452.6,47.185919
35,928.6,47.185919
126,1206.2,47.972351
22,314.0,291.504127
136,0.0,304.087039
70,88.39999999999998,306.184191
134,14.8,308.281343
138,77.0,329.252863
157,220.4,335.544319
165,306.2,373.293055
1,126.6,729.808895
199,59.2,1241.513983
108,274.8,2113.929215
167,5.999999999999999,2147.483647
1,1.0,2197.815295
68,250.0,2432.696319
1,8.200000000000001,2466.250751
120,36.8,2600.468479
136,2.4,2684.354559
126,102.4,3321.888767
96,324.40000000000003,3405.774847
