Thread pool size,Concurrency,99th percentile Latency
10,10,2281.701375
6,10,1879.048191
1,10,57.671679
3,10,792.723455
1,10,80.740351
49,10,2583.691263
49,10,2717.908991
28,10,2617.245695
28,10,3003.121663
1,10,80.216063
1,10,80.216063
1,10,57.933823
1,10,57.671679
1,10,57.933823
1,10,80.216063
1,10,57.671679
1,10,80.216063
1,10,61.603839
1,10,80.216063
1,10,80.216063
1,10,61.341695
1,10,80.216063
1,10,68.681727
1,10,80.216063
1,10,80.216063
1,10,57.671679
3,10,687.865855
3,10,780.140543
16,10,2818.572287
17,10,2701.131775
38,10,2701.131775
38,10,2617.245695
1,10,80.740351
1,10,80.216063
1,10,57.671679
1,10,80.740351
1,10,58.720255
1,10,57.671679
1,10,57.671679
1,10,57.933823
