Thread pool size,Concurrency,99th percentile Latency
10,5,1451.229183
20,5,1400.897535
20,10,2399.141887
1,10,82.837503
14,15,4529.848319
2,15,513.802239
3,20,1115.684863
3,20,918.552575
1,25,114.819071
26,25,6912.212991
27,30,8589.934591
49,30,8724.152319
49,35,10334.765055
7,35,2801.795071
7,40,2499.805183
1,40,142.606335
11,45,3707.764735
1,45,169.869311
1,50,197.132287
1,50,177.209343
1,50,145.752063
1,50,174.063615
1,45,170.917887
1,45,169.869311
1,40,169.869311
1,40,165.675007
1,35,165.675007
1,35,143.654911
1,30,114.819071
1,30,115.867647
1,25,141.557759
1,25,114.819071
1,20,110.624767
3,20,985.661439
16,15,4110.417919
2,15,301.989887
2,10,501.219327
3,10,880.803839
3,5,687.865855
3,5,620.756991
