Thread pool size,Concurrency,99th percentile Latency
10,5,1501.560831
2,5,385.875967
43,5,1191.182335
33,5,1400.897535
26,5,1182.793727
44,5,1291.845631
3,5,683.671551
2,5,314.572799
1,5,55.312383
2,5,377.487359
2,5,394.264575
2,5,375.390207
2,5,329.252863
2,5,381.681663
2,5,318.767103
2,5,396.361727
2,5,383.778815
2,5,314.572799
2,5,367.001599
2,5,297.795583
2,50,1107.296255
1,50,174.063615
22,50,9126.805503
14,50,6106.906623
3,50,1493.172223
15,50,5301.600255
3,50,1317.011455
3,50,1291.845631
3,50,1484.783615
3,50,1711.276031
3,50,1384.120319
3,50,1694.498815
3,50,1300.234239
3,50,1392.508927
3,50,1207.959551
3,50,1484.783615
3,50,1476.395007
3,50,1216.348159
3,50,1384.120319
