Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,85.6,1300.234239
14,77.2,1602.224127
44,143.0,1291.845631
49,89.0,1300.234239
3,112.4,696.254463
3,112.4,700.448767
3,121.4,700.448767
3,76.8,801.112063
1,722.2,55.312383
3,96.0,687.865855
3,103.8,696.254463
3,89.0,696.254463
3,97.4,687.865855
32,131.20000000000002,1224.736767
32,60.2,1300.234239
3,58.8,708.837375
3,117.8,704.643071
3,308.0,608.174079
3,74.2,700.448767
3,135.0,692.060159
2,172.2,318.767103
2,169.0,310.378495
2,163.20000000000002,343.932927
2,150.60000000000002,320.864255
2,125.2,373.293055
2,187.8,320.864255
2,152.39999999999998,322.961407
2,120.6,383.778815
2,144.60000000000002,373.293055
2,205.0,308.281343
2,155.2,318.767103
2,164.0,371.195903
2,151.4,322.961407
2,123.0,329.252863
2,188.8,312.475647
2,219.2,314.572799
2,193.6,312.475647
2,172.4,325.058559
2,175.0,379.584511
2,137.20000000000002,325.058559
