Thread pool size,Concurrency,99th percentile Latency
10,49,2583.691263
21,11,2835.349503
1,47,166.723583
1,27,136.314879
1,27,140.509183
49,17,4999.610367
49,35,9865.003007
1,42,167.772159
1,20,109.051903
1,18,85.983231
1,34,134.217727
1,13,85.458943
2,46,1002.438655
1,40,167.772159
1,7,58.458111
3,2,287.309823
3,43,1216.348159
1,17,101.711871
2,27,704.643071
2,18,509.607935
20,44,6207.569919
1,26,113.246207
2,12,360.710143
2,30,591.396863
1,11,81.788927
2,36,675.282943
1,17,85.983231
1,28,112.721919
1,26,113.770495
1,17,85.983231
1,5,54.525951
2,33,700.448767
1,36,143.654911
1,45,171.966463
1,48,170.917887
1,20,108.527615
1,43,166.723583
1,19,85.458943
1,25,112.721919
1,40,164.626431
