Thread pool size,Concurrency,99th percentile Latency
10,3,624.951295
11,3,692.060159
1,6,59.244543
3,6,981.467135
3,8,696.254463
2,8,337.641471
2,11,411.041791
15,11,3036.676095
1,14,87.031807
3,14,918.552575
49,16,4596.957183
49,16,4596.957183
1,19,87.556095
8,19,2483.027967
8,22,3003.121663
1,22,110.624767
23,24,7818.182655
1,24,138.412031
1,27,114.819071
1,27,124.780543
1,27,122.683391
1,27,142.606335
1,29,114.819071
1,29,114.294783
1,32,144.703487
1,32,138.412031
1,35,147.849215
1,35,143.654911
1,37,141.557759
1,37,165.675007
1,40,142.606335
1,40,179.306495
1,43,173.015039
1,43,169.869311
1,45,169.869311
1,45,198.180863
1,48,181.403647
1,48,197.132287
1,51,169.869311
1,51,170.917887
