Thread pool size,Concurrency,99th percentile Latency
10,50,3288.334335
25,50,5402.263551
31,45,10468.982783
16,45,4110.417919
1,40,171.966463
1,40,171.966463
1,35,147.849215
1,35,144.703487
1,30,117.440511
1,30,140.509183
1,25,112.197631
1,25,116.916223
1,20,112.197631
1,20,105.381887
1,15,88.080383
49,15,4630.511615
3,10,826.277887
3,10,796.917759
3,5,788.529151
3,5,717.225983
3,10,788.529151
3,10,809.500671
3,15,889.192447
3,15,796.917759
3,20,1199.570943
3,20,1019.215871
1,25,116.391935
1,25,115.867647
1,30,116.391935
1,30,144.703487
1,35,141.557759
1,35,144.703487
1,40,171.966463
1,40,173.015039
1,45,171.966463
1,45,200.278015
1,50,171.966463
1,50,200.278015
1,50,200.278015
1,50,200.278015
