Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,747.0,221.249535
29,710.6,120.061951
42,751.4,308.281343
5,796.8000000000001,176.160767
29,678.4000000000001,278.921215
1,5712.2,14.876671
4,709.4000000000001,178.257919
23,729.0,299.892735
27,832.1999999999999,193.986559
9,720.8000000000001,200.278015
7,716.2,197.132287
9,663.6,180.355071
9,733.0,211.812351
41,741.2,205.520895
1,5547.0,8.781823
1,5165.6,2.768895
1,5517.4,30.539775
1,5363.2,15.990783
1,5719.0,21.364735
1,5514.0,15.859711
