Thread pool size,Current 10 Second Throughput,99th percentile Latency
2,951.0,104.857599
2,901.8,108.003327
2,887.6,108.003327
2,884.8,109.051903
2,897.1999999999999,113.770495
31,2437.0,113.770495
2,854.4,117.440511
2,828.6,119.537663
3,815.2,173.015039
3,804.1999999999999,174.063615
3,744.8000000000001,178.257919
3,744.0,180.355071
4,772.8000000000001,184.549375
4,694.8,186.646527
4,825.4,188.743679
4,709.4000000000001,189.792255
5,724.0,196.083711
8,745.6,274.726911
10,759.1999999999999,285.212671
33,710.0,287.309823
