Thread pool size,Current 10 Second Throughput,99th percentile Latency
1,4817.2,13.893631
1,4834.2,29.622271
1,4952.8,31.457279
10,958.8,88.604671
4,693.1999999999999,93.847551
4,836.4000000000001,99.090431
4,727.6,103.284735
4,747.4000000000001,108.527615
3,723.8,110.624767
4,683.0,111.673343
49,707.0,181.403647
6,785.6,185.597951
49,758.2,185.597951
10,785.0,199.229439
7,737.2,202.375167
14,683.8000000000001,205.520895
14,823.6,214.958079
15,743.5999999999999,285.212671
48,780.0,289.406975
16,744.4,297.795583
