Thread pool size,Current 10 Second Throughput,99th percentile Latency
1,4376.8,11.141119
13,653.0,94.371839
10,697.8000000000001,94.896127
14,659.8000000000001,95.420415
26,696.6,96.468991
12,653.2,96.993279
12,633.4000000000001,97.517567
49,653.6,97.517567
10,632.6,98.041855
49,640.2,98.041855
4,870.6,184.549375
5,732.0,191.889407
4,721.0,191.889407
4,724.1999999999999,192.937983
5,670.8,198.180863
6,1282.0,208.666623
6,712.4000000000001,210.763775
7,798.8,214.958079
17,726.0,283.115519
21,674.5999999999999,283.115519
