Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,826.4000000000001,87.556095
10,664.5999999999999,92.798975
6,721.8000000000001,92.798975
16,695.5999999999999,92.798975
11,642.0,92.798975
12,702.0,92.798975
9,734.2,93.323263
11,695.2,93.323263
9,700.4,93.323263
17,687.6,93.847551
9,685.4000000000001,93.847551
49,737.2,94.371839
16,691.6,94.371839
16,700.6,94.371839
9,675.0,94.896127
10,678.8,95.420415
11,684.4,95.420415
49,654.4000000000001,95.944703
14,711.8,95.944703
49,584.8,98.566143
