Thread pool size,Current 10 Second Throughput,99th percentile Latency
1,5146.6,15.859711
1,5010.0,18.612223
1,4925.599999999999,20.185087
1,4984.8,36.175871
30,698.2,54.525951
2,869.1999999999999,94.896127
45,680.6,101.187583
2,987.2,106.430463
19,641.2,167.772159
3,812.8,170.917887
19,682.2,182.452223
7,754.6,188.743679
26,738.0,190.840831
21,757.0,206.569471
10,744.6,207.618047
48,688.8,276.824063
10,765.8000000000001,295.698431
30,779.2,299.892735
15,684.8,299.892735
12,739.1999999999999,301.989887
