Thread pool size,Current 10 Second Throughput,99th percentile Latency
1,0.0,0.0
1,4708.2,13.434879
1,5290.2,16.646143
1,5259.0,26.738687
1,5312.8,30.408703
1,5079.599999999999,34.078719
1,4855.0,41.680895
5,673.0,95.944703
3,757.2,98.566143
6,694.8,110.624767
5,724.1999999999999,123.731967
32,716.2,199.229439
6,690.6,200.278015
21,747.6,206.569471
42,721.0,207.618047
24,726.5999999999999,208.666623
11,705.4,293.601279
10,709.4000000000001,306.184191
33,712.5999999999999,310.378495
40,722.4,400.556031
